Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.111.129-91.189.89.198-56558-123-17,192.168.111.129,56558,91.189.89.198,123,17,09/03/2022 05:20:08 pm,35491,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2704.911104223606,56.352314671325125,35491.0,0.0,35491.0,35491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,28.176157335662563,28.176157335662563,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-54315-123-17,192.168.111.129,54315,91.189.89.198,123,17,09/03/2022 05:18:31 pm,29627,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3240.2875755223276,67.50599115671515,29627.0,0.0,29627.0,29627.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,33.75299557835758,33.75299557835758,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-57865-123-17,192.168.111.129,57865,91.189.89.198,123,17,09/03/2022 05:20:40 pm,30285,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3169.8860822189204,66.03929337956085,30285.0,0.0,30285.0,30285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,33.01964668978042,33.01964668978042,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-192.168.111.254-68-67-17,192.168.111.129,68,192.168.111.254,67,17,09/03/2022 05:18:11 pm,1241,1,1,296.0,300.0,296.0,296.0,296.0,0.0,300.0,300.0,300.0,0.0,480257.8565672845,1611.6035455278002,1241.0,0.0,1241.0,1241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,805.8017727639001,805.8017727639001,296.0,300.0,297.3333333333333,2.309401076758503,5.333333333333333,0,0,0,0,0,0,0,0,1.0,446.0,296.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.1-239.255.255.250-64025-1900-17,192.168.111.1,64025,239.255.255.250,1900,17,09/03/2022 05:19:53 pm,3033894,4,0,676.0,0.0,169.0,169.0,169.0,0.0,0,0,0,0,222.81595863270107,1.3184376250455685,1011298.0,2083.9925623667664,1012698.0,1008903.0,3033894.0,1011298.0,2083.9925623667664,1012698.0,1008903.0,0,0,0,0,0,0,0,0,0,32,0,1.3184376250455685,0.0,169.0,169.0,169.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,211.25,169.0,0.0,0,0,0,0,0,0,1,225,0,0,0,0,3,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-46287-123-17,192.168.111.129,46287,91.189.89.198,123,17,09/03/2022 05:22:49 pm,33138,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2896.976281006699,60.3536725209729,33138.0,0.0,33138.0,33138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,30.17683626048645,30.17683626048645,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-44021-123-17,192.168.111.129,44021,91.189.89.198,123,17,09/03/2022 05:22:17 pm,30359,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3162.1594914193483,65.87832273790309,30359.0,0.0,30359.0,30359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,32.939161368951545,32.939161368951545,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-44511-123-17,192.168.111.129,44511,91.189.89.198,123,17,09/03/2022 05:24:58 pm,36172,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2653.9865089019127,55.291385602123185,36172.0,0.0,36172.0,36172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,27.645692801061593,27.645692801061593,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-44939-123-17,192.168.111.129,44939,91.189.89.198,123,17,09/03/2022 05:21:12 pm,32280447,2,1,96.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,4.4609047699990025,0.09293551604164589,1.61402235E7,2.2782619158265375E7,3.2249968E7,30479.0,3.2249968E7,3.2249968E7,0.0,3.2249968E7,3.2249968E7,0,0,0,0,0,0,0,0,0,16,8,0.06195701069443059,0.030978505347215295,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,64.0,48.0,48.0,0,0,0,0,0,0,2,96,1,48,0,0,1,8,0,0,0,0,3.2249968E7,0.0,3.2249968E7,3.2249968E7,NeedManualLabel
192.168.111.129-91.189.89.198-32800-123-17,192.168.111.129,32800,91.189.89.198,123,17,09/03/2022 05:24:26 pm,31321,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3065.036237668018,63.85492161808371,31321.0,0.0,31321.0,31321.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,31.927460809041854,31.927460809041854,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.1-239.255.255.250-57962-3702-17,192.168.111.1,57962,239.255.255.250,3702,17,09/03/2022 05:18:24 pm,5950616,7,0,4592.0,0.0,656.0,656.0,656.0,0.0,0,0,0,0,771.6848138075117,1.176348801535841,991769.3333333333,837749.4670374112,2006910.0,139840.0,5950616.0,991769.3333333333,837749.4670374112,2006910.0,139840.0,0,0,0,0,0,0,0,0,0,56,0,1.176348801535841,0.0,656.0,656.0,656.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,749.7142857142857,656.0,0.0,0,0,0,2624,4,2830,2,1530,0,0,0,0,6,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.1-239.255.255.250-55279-1900-17,192.168.111.1,55279,239.255.255.250,1900,17,09/03/2022 05:23:53 pm,3039746,4,0,676.0,0.0,169.0,169.0,169.0,0.0,0,0,0,0,222.38700207188364,1.3158994205436902,1013248.6666666666,2823.3013181970737,1016110.0,1010465.0,3039746.0,1013248.6666666666,2823.3013181970737,1016110.0,1010465.0,0,0,0,0,0,0,0,0,0,32,0,1.3158994205436902,0.0,169.0,169.0,169.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,211.25,169.0,0.0,0,0,0,0,0,0,1,225,0,0,0,0,3,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-44058-123-17,192.168.111.129,44058,91.189.89.198,123,17,09/03/2022 05:23:53 pm,35185,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2728.435412817962,56.84240443370754,35185.0,0.0,35185.0,35185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,28.42120221685377,28.42120221685377,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.129-91.189.89.198-46492-123-17,192.168.111.129,46492,91.189.89.198,123,17,09/03/2022 05:19:35 pm,30887,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3108.1037329620876,64.75216110337682,30887.0,0.0,30887.0,30887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,32.37608055168841,32.37608055168841,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/03/2022 05:24:10 pm,15362067,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.585858660816933,1920258.375,1892259.7443256597,5389523.0,512528.0,1.5362067E7,1920258.375,1892259.7443256597,5389523.0,512528.0,0,0,0,0,0,0,0,0,0,0,0,0.585858660816933,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9972544.0,0.0,9972544.0,9972544.0,5389523.0,0.0,5389523.0,5389523.0,NeedManualLabel
192.168.111.129-91.189.89.198-38437-123-17,192.168.111.129,38437,91.189.89.198,123,17,09/03/2022 05:19:03 pm,31487,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3048.877314447232,63.51827738431734,31487.0,0.0,31487.0,31487.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,31.75913869215867,31.75913869215867,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
